ソート番号,クーポン名,クーポン名カナ,業種,クーポンの割引金額,クーポン名表示用,ブロックNO,郵便番号,店舗住所,電話番号,店舗説明,店舗URL,インスタグラムのアカウント,店舗画像,経度,緯度
476,パン曜日,パンヨウビ,小売業,500,"1,000円以上会計で500円引き",1,425-0062,静岡県焼津市中根新田643の2,,金曜日のみ営業 11時〜18時(または完売にて終了),,https://www.instagram.com/greenpanyoubi/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/476.jpg,138.293404,34.8339387
477,アイメガネ焼津石津店,アイメガネヤイヅイシヅテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0041,静岡県焼津市石津3丁目19-16,054-656-0001,営業時間10:00〜19:00 年中無休 ,https://www.aimegane.com/shop/shizuoka/708/,https://www.instagram.com/aimegane_389/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/477.jpg,138.3154849,34.8433181
478,lit.,リット,その他,1000,"2,000円以上会計で1,000円引き",1,425-0076,静岡県焼津市小屋敷358,054-625-8820,9時〜21時 物販のみ使用不可,https://beauty.hotpepper.jp/slnH000743859,https://www.instagram.com/lit.hair.design/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/478.jpg,138.2856427,34.8622384
479,ボディケアスペース 理楽館,ボディケアスペース リラクカン,その他,1000,"2,000円以上会計で1,000円引き",1,425-0036,静岡県焼津市西小川7丁目1-1 第二大ヤブビル101号,054-620-6770,・営業時間/10:00〜19:00（当日最終受付/17:00） ・定休日/毎週火曜日＆金曜日 ・TEL予約（受付/9:40〜17:00）もインターネット予約（24時間）もできます。 ・現金払いでもPayPay決済、及びスマート支払いでもOKです。,http://www.relax-kan.com/,https://www.instagram.com/rilax_kan/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/479.jpg,138.308322,34.852528
480,金寿し地魚定,キンズシジザカナテイ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0021,静岡県焼津市中港2-4-18,054-620-9933,夜営業17時から20時ラストオーダー迄 毎週水曜日木曜日夜営業定休日となります。　”ランチ営業にクーポンは利用できません”　 ,https://www.jlzakana-tei,https://www.instagram.com/jizakanatei/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/480.jpg,138.3238678,34.8721313
481,CheesePige焼津本店,チーズピゲヤイヅホンテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0036,静岡県焼津市西小川2-4-9,054-639-5518,,https://cheesepige.jp,https://www.instagram.com/cheese.pige/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/481.jpg,138.3103659,34.8595838
482,わかくさ,ワカクサ,小売業,1000,"2,000円以上会計で1,000円引き",1,421-0211,静岡県焼津市吉永1171-1,054-622-0110,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/482.jpg,138.296042,34.794041
483,PIGE CAFE焼津駅前店,ピゲカフェヤイヅエキマエテン,飲食業,500,"1,000円以上会計で500円引き",1,425-0027,静岡県焼津市栄町4-1-6,054-625-9931,,https://cheesepige.jp/cookiepige/,https://www.instagram.com/pige_cafe/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/483.jpg,138.3196831,34.8702324
484,betobento ベトナムバインミー専門店,ベトベントベトナムバインミーセンモンテン,飲食業,500,"1,000円以上会計で500円引き",1,425-0071,静岡県焼津市三ケ名826-1,080-7428-2916,,https://betobento.biz-option.com/,https://www.instagram.com/Betobento8261/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/484.jpg,138.3008299,34.859205
485,セブン-イレブン焼津三ヶ名南店,セブン-イレブンヤイヅサンガミョウミナミテン,小売業,500,"1,000円以上会計で500円引き",1,425-0071,静岡県焼津市三ケ名字金剛作289-1,054-620-6026,,,,,138.300212,34.8538458
486,みどりのお店ポメゾン,ミドリノオミセポメゾン,小売業,1000,"2,000円以上会計で1,000円引き",1,421-0216,静岡県焼津市相川638-2,054-622-7787,【営業時間】 園芸　9:00〜18:00 カフェ　10:00〜18:00（ラストオーダー17:00） 園芸、カフェ両方で利用可能,https://pomaison.com/,https://www.instagram.com/pomaison/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/486.jpg,138.264967,34.806855
487,パエザーノ,パエザーノ,飲食業,1000,"2,000円以上会計で1,000円引き",1,421-0205,静岡県焼津市宗高1510-3,054-662-2260,,,https://www.instagram.com/parsano1999/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/487.jpg,138.2766216,34.8141421
488,ハピネス,ハピネス,その他,1000,"2,000円以上会計で1,000円引き",1,425-0072,静岡県焼津市大住130-4,090-8671-6941,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/488.jpg,138.2909493,34.8503135
489,マックスバリュグランリバー大井川店,マックスバリュグランリバーオオイガワテン,小売業,1000,"2,000円以上会計で1,000円引き",1,421-0218,静岡県焼津市下江留1424-1,054-664-0889,マックスバリュグランリバー大井川店でのみ利用可能です。 店内クリーニング店「シルキー」ではご利用いただけません。 店頭催事業者さま、「焼鳥」、「餃子」ではご利用いただけません。,https://www.mv-tokai.co.jp/store/14497/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/489.jpg,138.2746272,34.8099732
490,とこやさん,トコヤサン,その他,500,"1,000円以上会計で500円引き",1,425-0064,静岡県焼津市三和1166-2,054-623-3065,営業時間 9:00〜18:30 9:00〜12:00(木曜日) 定休日　月曜日、木曜日の午後,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/490.jpg,138.2979348,34.8276773
491,セブン-イレブン焼津石津西店,セブン-イレブンヤイヅイシヅニシテン,小売業,500,"1,000円以上会計で500円引き",1,425-0034,静岡県焼津市与惣次2丁目16-1,054-624-1633,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/491.jpg,138.3127891,34.84530513
492,ドラッグストアコスモス焼津本町店,ドラッグストアコスモスヤイヅホンマチテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0022,静岡県焼津市本町5-5-5,054-621-3110,,https://www.cosmospc.co.jp/,,,138.3207552,34.8619852
493,ドラッグストアコスモス石津店,ドラッグストアコスモスイシヅテン,小売業,500,"1,000円以上会計で500円引き",1,425-0041,静岡県焼津市石津1-20-3,054-631-7666,,https://www.cosmospc.co.jp/,,,138.3106676,34.8409388
494,杏林堂薬局　焼津与惣次店,キョウリンドウヤッキョク　ヤイヅヨソウジテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0034,静岡県焼津市与惣次1-3-5,054-656-1711,営業時間　9:00 - 22:00,https://www.kyorindo.co.jp/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/494.jpg,138.3119776,34.8461842
495,杏林堂薬局　焼津大住店,キョウリンドウヤッキョク　ヤイヅオオズミテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0072,静岡県焼津市大住673,054-621-5711,営業時間　9:00 - 21:45,https://www.kyorindo.co.jp/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/495.jpg,138.2913752,34.8474242
496,杏林堂薬局　西焼津駅北店,キョウリンドウヤッキョク　ニシヤイヅエキキタテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0076,静岡県焼津市小屋敷385,054-621-1411,営業時間　9:00 - 21:45,https://www.kyorindo.co.jp/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/496.jpg,138.2848513,34.86095
497,ピオン焼津店,ピオンヤイヅテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0041,静岡県焼津市石津1丁目9番7,054-631-6215,営業時間10：00〜19：00,https://pionlife.com/,https://www.instagram.com/life_design_pion/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/497.jpg,138.3110774,34.8426554
498,ウエルシア焼津南店,ウエルシアヤイヅミナミテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0034,静岡県焼津市与惣次1-26-5,054-623-8534,処方箋の自己負担金の支払いには使用できません。,https://store.welcia.co.jp/welcia/spot/detail?code=7022D&category=01.02.06.12.18.20,,,138.3083974,34.8446073
499,セブンイレブン焼津1丁目店,セブンイレブンヤイヅイッチョウメテン,小売業,500,"1,000円以上会計で500円引き",1,425-0026,静岡県焼津市焼津1丁目4-18,054-628-6757,クーポンは9:00-21:00のみ利用可,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/499.jpg,138.316375,34.8667265
500,セブンイレブン焼津本町3丁目店,セブンイレブンヤイヅホンマチサンチョウメテン,小売業,500,"1,000円以上会計で500円引き",1,425-0022,静岡県焼津市本町三丁目2-1,054-628-0107,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/500.jpg,138.3202301,34.8654828
501,ウエルシア焼津田尻北店,ウエルシアヤイヅタジリキタテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0051,静岡県焼津市田尻北261,054-656-1188,処方箋の自己負担金の支払いには利用できません。,https://store.welcia.co.jp/welcia/spot/detail?code=7093D&lang=ja&category=01.02.06.12.18.20,,,138.3254602,34.8328459
502,ウエルシア焼津八楠店,ウエルシアヤイヅヤグステン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠2-29-6,054-620-9388,処方箋の自己負担金の支払いには使用できません。,https://store.welcia.co.jp/welcia/spot/detail?code=7120D&lang=ja&category=01.02.06.12.18.20,,,138.3079865,34.880475
503,ウエルシア焼津駅店,ウエルシアヤイヅエキテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町1-1-1,054-620-0868,処方箋の自己負担金の支払いには使用できません。,https://store.welcia.co.jp/welcia/spot/detail?code=7135D&lang=ja&category=01.02.06.12.18.20,,,138.3183899,34.8719482
504,ウエルシア焼津小柳津店,ウエルシアヤイヅオヤイヅテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0073,静岡県焼津市小柳津218-1,054-629-8814,処方箋の自己負担金の支払いには使用できません。,https://store.welcia.co.jp/welcia/spot/detail?code=7145D,,,138.2829336,34.8535074
506, ウエルシア焼津塩津店,ウエルシアヤイヅシオツテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0085,静岡県焼津市塩津61-1,054-621-4555,処方箋の自己負担金の支払いには使用できません。,https://store.welcia.co.jp/welcia/spot/detail?code=7213D&lang=ja&category=01.02.06.12.18.20,,,138.3057004,34.8687042
507, ウエルシアグランリバー焼津大井川店,ウエルシアグランリバーヤイヅオオイガワテン,小売業,1000,"2,000円以上会計で1,000円引き",1,421-0218,静岡県焼津市下江留1444-1,054-664-0850,処方箋の自己負担金の支払いには使用できません。,https://store.welcia.co.jp/welcia/spot/detail?code=7240D&lang=ja&category=01.02.06.12.18.20,,,138.2749245,34.8113771
508,スマイルビューティー，K,スマイルビューティーケイ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0086,静岡県焼津市小土1131番地の1,054-621-7788,営業時間10:00〜19:00 定休日　毎週水曜日、木曜日,sbk4949.p-kit.com,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/508.jpg,138.2889153,34.862512
509,ウエルシア焼津下小田店,ウエルシアヤイヅシモオダテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0059,静岡県焼津市下小田上町25-4,054-656-1760,処方箋の自己負担金の支払いには使用できません。,https://store.welcia.co.jp/welcia/spot/detail?code=7246D&lang=ja&category=01.02.06.12.18.20,,,138.31253,34.8378996
510,ウエルシア焼津東小川店,ウエルシアヤイヅヒガシコガワテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0035,静岡県焼津市東小川2-2-6,054-621-5211,処方箋の自己負担金の支払いには使用できません。,https://store.welcia.co.jp/welcia/spot/detail?code=7256D&lang=ja&category=01.02.06.12.18.20,,,138.3175654,34.8566861
511,ウエルシア薬局焼津ねぎ島店,ウエルシアヤイヅネギシマテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0047,静岡県焼津市東祢宜島16-4,054-623-0933,処方箋の自己負担金の支払いには使用できません。,https://store.welcia.co.jp/welcia/spot/detail?code=7304D&lang=ja&category=01.02.06.12.18.20,,,138.3025248,34.8434316
512,ウエルシア薬局焼津新焼津店,ウエルシアヤッキョクヤイヅシンヤイヅテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0026,静岡県焼津市焼津4-6-20,054-621-3788,処方箋の自己負担金の支払いには使用できません。,https://store.welcia.co.jp/welcia/spot/detail?code=7903C&lang=ja&category=01.02.06.12.18.20,,,138.3139328,34.8618789
513,ウエルシア薬局焼津与惣次店,ウエルシアヤッキョクヤイヅヨソウジテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0034,静岡県焼津市与惣次1-10-11,054-656-1537,処方箋の自己負担金の支払いには使用できません。,https://store.welcia.co.jp/welcia/spot/detail?code=7912C&lang=ja&category=01.02.06.12.18.20,,,138.3099277,34.8455898
514,ウエルシア焼津三ケ名東店,ウエルシアヤイヅサンガミョウヒガシテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0071,静岡県焼津市三ケ名1100-6,054-625-7256,処方箋の自己負担金の支払いには使用できません。,https://store.welcia.co.jp/welcia/spot/detail?code=7359D&lang=ja&category=01.02.06.12.18.20,,,138.307494,34.862887
515,クリエイトエス・ディー焼津三ヶ名店,クリエイトエス・ディーヤイヅサンガミョウテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0071,静岡県焼津市三ケ名218,054-621-0511,タバコ購入にはご利用いただけません。 税込み2000円以上のお会計でご使用いただけます。,https://www.create-sd.co.jp/,https://www.instagram.com/create_sd_official/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/515.jpg,138.2992771,34.8534652
516,クリエイトエスディー焼津下小田店,クリエイトエスディーヤイヅシモオダ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0059,静岡県焼津市下小田上町 2-3,054-656-3161,タバコのご購入には使用いただけません。 税込み2000円以上のお会計でご使用いただけます。,https://www.create-sd.co.jp/,https://www.instagram.com/create_sd_official/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/516.jpg,138.3173516,34.8379298
517,ENEOS焼津インターSS,エネオスヤイヅインターエスエス,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠3-3-3,054-628-3716,営業時間：7:00-19:00（日曜定休） 利用条件に関する注意：給油や洗車、オイル交換など当店のメニュー各種にご利用いただけます。給油の場合は、2000円以上のご利用になりそうか、給油前にあらかじめスタッフと共に確認させていただきます。1000円クーポン分については各種提携ポイント(VポイントやRポイント等)の付与はありません。,https://www.makita-oil.co.jp/%E3%82%AB%E3%83%BC%E3%83%A9%E3%82%A4%E3%83%95/eneos%E7%84%BC%E6%B4%A5%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BCss,https://www.instagram.com/eneos_yaizu_inter_ss/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/517.jpg,138.310938,34.878313
518,クリエイトエス・ディー焼津小土店,クリエイトエス・ディーヤイヅコヒジテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0086,静岡県焼津市小土 270-17,054-621-3151,タバコのご購入には使用いただけません。 税込み2000円以上のお会計でご使用いただけます。,https://www.create-sd.co.jp/,https://www.instagram.com/create_sd_official/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/518.jpg,138.293923,34.8688367
519,クリエイトエスディー焼津四丁目店,クリエイトエスディーヤイヅヨンチョウメテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0026,静岡県焼津市焼津 4-7-26,054-621-5021,タバコのご購入には使用いただけません。 税込み2000円以上のお会計でご使用いただけます。,https://www.create-sd.co.jp/,https://www.instagram.com/create_sd_official/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/519.jpg,138.3146324,34.8638755
520,ビジネスホテル大井川,ビジネスホテルオオイガワ,宿泊業,500,"1,000円以上会計で500円引き",1,421-0214,静岡県焼津市中島452-1,080-5100-2445,,https://bhoigawa.com,https://www.instagram.com/bhoigawa/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/520.jpg,138.2768804,34.7916288
521,松の井指圧・鍼・灸院,マツノイシアツ・ハリ・キュウイン,その他,1000,"2,000円以上会計で1,000円引き",1,425-0035,静岡県焼津市東小川４丁目１８-１０,054-628-4594,クーポンは施術のみ利用可 予約制,,,,138.3154265,34.8534154
522,又八商店,マタハチショウテン,小売業,500,"1,000円以上会計で500円引き",1,425-0027,静岡県焼津市5-10-25,080-4778-3156,営業時間11：30〜18：00 定休日：毎週木曜,,https://www.instagram.com/matahachi_syoten/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/522.jpg,138.3238554,34.876337
523,株式会社サスナ,サスナ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0014,静岡県焼津市中里824番地,054-627-5525,営業日：月曜日〜金曜日 営業時間：9:00〜16:30,https://www.sasuna.co.jp/,https://www.instagram.com/sasuna014127/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/523.jpg,138.3131503,34.8818627
525,ひかり鍼灸接骨院 イオン焼津院,ヒカリハリキュウセッコツイン　イオンヤイヅイン,その他,500,"1,000円以上会計で500円引き",1,425-0045,静岡県焼津市祢宜島555,054-623-7222,"【午前】9:00～12:00,【午後】14:00～19:00 年中無休",,,,138.31037881483581,34.83763379092456
526,ひかり鍼灸接骨院 食鮮館タイヨー小土院,ヒカリハリキュウセッコツイン　ショクセンカンタイヨーコヒジイン,その他,500,"1,000円以上会計で500円引き",1,425-0086,静岡県焼津市小土270-16,054-626-2266,"【午前】9:00～12:00,【午後】15:00～20:00 土曜日は休み、日曜・祝日：【午前】9:00～12:00,【午後】14:00～17:00",,,,138.2933862,34.8688119
527,ひかり鍼灸接骨院 田子重田尻院,ヒカリハリキュウセッコツイン　タゴジュウタジリイン,その他,1000,"2,000円以上会計で1,000円引き",1,425-0052,静岡県焼津市田尻421,054-623-5533,"【午前】9:00～12:00,【午後】14:00～19:00 　土曜・日曜・祝日：【午前】9:00～12:00,【午後】14:00～17:00",,,,138.318957,34.831636
528,エス・フレーム工房,エス・フレームコウボウ,小売業,500,"1,000円以上会計で500円引き",1,425-0028,静岡県焼津市駅北4丁目1番21号,054-629-3234,,http://web.thn.jp/s-fram-f/,https://www.instagram.com/sframf/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/528.jpg,138.3174931,34.8740563
529,おそうじ本舗焼津駅北店,オソウジホンポヤイヅエキキタテン,その他,1000,"2,000円以上会計で1,000円引き",1,425-0064,静岡県焼津市三和1512,0120-838-048,,https://www.osoujihonpo.com/shop/detail/20482/,,,138.3047902,34.8318911
531,酒食処ゆず,シュショクドコロユズ,飲食業,500,"1,000円以上会計で500円引き",1,425-0022,静岡県焼津市本町2-9-15,054-631-5665,クーポンはランチのみ利用可,,https://www.instagram.com/shushokudocoroyuzu/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/531.jpg,138.322152,34.8679778
532,ステーキハウスBun,ステーキハウスブン,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0087,静岡県焼津市保福島638-3,054-627-3107,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/532.jpg,138.2828522,34.8711042
533,ハウスクリーニングこっしー,ハウスクリーニングコッシー,その他,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠51-2,090-1759-0054,,https://hc-kossy.jp/,https://www.instagram.com/house_cleaning_kossy/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/533.jpg,138.3029871,34.8855966
534,ダイニングバー　Vino！Vino！,ダイニングバー　ヴィーノ！ヴィーノ！,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町1-1-32アピオビル1F,054-623-9353,営業時間:18:00～24:00,https://www.at-ml.jp/10804444/,https://www.instagram.com/vinovino_yaizu/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/534.jpg,138.3193547,34.8725474
535,中華料理喜食季,チュウカリョウリ　キショクキ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0041,静岡県焼津市石津2丁目2-5,054-639-7334,営業時間11:00～14:3017:00～23:00,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/535.jpg,138.3145833,34.8432362
536,田子重　登呂田店,タゴジュウトロタテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0035,静岡県焼津市東小川2丁目16-14,054-629-2166,,https://www.tagoju.co.jp/store/store03/index.html,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/536.jpg,138.3124095,34.8584919
537,田子重　田尻店,タゴジュウタジリテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0052,静岡県焼津市田尻421,054-624-3213,,https://www.tagoju.co.jp/store/store02/index.html,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/537.jpg,138.3191054,34.8315823
538,田子重　西焼津店,タゴジュウニシヤイヅテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0073,静岡県焼津市小柳津531,054-626-5522,,https://www.tagoju.co.jp/store/store04/index.html,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/538.jpg,138.288279,34.8529211
539,田子重　小土店,タゴジュウコヒジテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0086,静岡県焼津市小土558,054-625-7111,,https://www.tagoju.co.jp/store/store16/index.html,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/539.jpg,138.29999748814558,34.87105945157771
540,鍼灸かのあ,シンキュウカノア,その他,1000,"2,000円以上会計で1,000円引き",1,425-0037,静岡県焼津市南小川2丁目27-8 BurgK01,090-5000-0053,9:00~21:00予約制のため、事前にご予約のうえご利用ください。営業時間内でご利用可能です。地域の健康づくりに貢献できるよう、丁寧な施術を提供しています。,https://shinkyukanoa.jp/,https://www.instagram.com/kanoa_yaizu/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/540.jpg,138.3127546,34.8474756
541,USA釣具店,ユーエスエーツリグテン,小売業,500,"1,000円以上会計で500円引き",1,425-0042,静岡県焼津市石津港町２番地4,054-624-5237,営業時間7時より23時,,https://www.instagram.com/usaturiguten/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/541.jpg,138.327008,34.84459
542,整体サロン Dear…,セイタイサロン　ディアー,その他,1000,"2,000円以上会計で1,000円引き",1,425-0072,静岡県焼津市大住699-6,,"営業日：水曜日・土曜日・日曜日営業時間：10:00～17:00クーポンは施術料金3,000円以上のメニューのみ利用可【事前予約制】公式LINEよりご希望の日時をご連絡ください。",https://lin.ee/VV1MTej,https://www.instagram.com/midori_dear/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/542.jpg,138.290101,34.8471985
543,Pao Story,パオストーリー,飲食業,500,"1,000円以上会計で500円引き",1,425-0022,静岡県焼津市本町二丁目12-8-204A,050-8888-4522,クーポンはランチのみ利用可,,https://www.instagram.com/pao_story_2025/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/543.jpg,138.3221812,34.8664639
544,DINING友秀,ダイニングユウシュウ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0076,静岡県焼津市小屋敷448-1,054-330-9472,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/544.jpg,138.282658,34.861103
545,Hair Salon Olive,ヘアサロンオリーブ,その他,1000,"2,000円以上会計で1,000円引き",1,425-0047,静岡県焼津市東祢宜島10-8 祢宜島マンション　1F 103,050-8888-4684,,https://salon-olive.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/545.jpg,138.309352,34.8379112
546,Tomo Cleaning,トモ クリーニング,その他,500,"1,000円以上会計で500円引き",1,425-0072,静岡県焼津市大住85-3,054-628-7813,10時から17時営業日曜 祝日 火曜日 お休み,http://ameblo.jp/tomocleaning,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/546.jpg,138.2889608,34.850497
547,Metrond,メトロンド,小売業,500,"1,000円以上会計で500円引き",1,425-0091,静岡県焼津市八楠3丁目11-14,054-639-5097,営業時間：火～土曜日                      10:00～18:00※店頭販売商品のみクーポン利用可,https://metrond.jp/,https://www.instagram.com/metrond0729/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/547.jpg,138.3058514,34.878196
548,セブンイレブン焼津石津中町店,セブンイレブンヤイヅイシヅナカチョウテン,小売業,500,"1,000円以上会計で500円引き",1,425-0042,静岡県焼津市石津港町22-2,054-623-5471,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/548.jpg,138.3239872,34.8400479
549,セーラto cullet,セーラトゥカレット,その他,1000,"2,000円以上会計で1,000円引き",1,421-0211,静岡県焼津市吉永1916-18,054-622-4168,営業時間：10:00?19:00　時間の相談可能定休日：月曜日クーポン対応：美容室施術、商品になります,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/549.jpg,138.3055393,34.7906863
550,富士屋　東名店,フジヤ　トウメイテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠4丁目9-8,054-629-6171,営業時間 9:00～22:00,https://www.4919228.com/,https://www.instagram.com/fujiya_supermarket/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/550.jpg,138.3042218,34.8789939
551,富士屋　田尻北店,フジヤ　タジリキタテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0051,静岡県焼津市田尻北185-1,054-625-1616,営業時間 9:00～22:00,https://www.4919228.com/,https://www.instagram.com/fujiya_supermarket/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/551.jpg,138.325428,34.834058
552,富士屋　焼津三丁目店,フジヤ　ヤイヅサンチョウメテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0026,静岡県焼津市焼津3丁目10-1,054-631-4147,営業時間 9:00～22:00,https://www.4919228.com/,https://www.instagram.com/fujiya_supermarket/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/552.jpg,138.3088889,34.8636111
553,富士屋　焼津南店,フジヤ　ヤイヅミナミテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0046,静岡県焼津市三右衛門新田635-639,054-624-7531,営業時間 9:00～22:00,https://www.4919228.com/,https://www.instagram.com/fujiya_supermarket/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/553.jpg,138.2917061,34.8465064
554,ボナジョルナータ,ボナジョルナータ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0085,静岡県焼津市塩津212-7,,,https://www.buona-g.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/554.jpg,138.306642,34.868124
555,焼津海鮮酒場てのひら,ヤイヅカイセンサカバテノヒラ,飲食業,500,"1,000円以上会計で500円引き",1,425-0028,静岡県焼津市駅北2-4-22,054-621-4440,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/555.jpg,138.3164579,34.8735003
556,株式会社カネヨ　工場直売所,カネヨコウジョウチョクバイジョ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0031,静岡県焼津市小川新町3-9-3,054-628-3327,営業時間：平日①8:00-12:00 / ②13:00-16:00土曜日不定休 / 日曜日定休 / 祝日及び長期連休はお休みさせていただきます。,https://yaizukaneyo.com/,https://www.instagram.com/kaneyo_neko_wanko/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/556.jpg,138.3226525,34.8549466
557,蘭亭,ランテイ,飲食業,500,"1,000円以上会計で500円引き",1,425-0088,静岡県焼津市大覚寺679ー3,054-627-7478,11時30分-13時30分(閉店14時)17時-20時(閉店21時),,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/557.jpg,138.290269,34.870673
558,いざかやすなっくさんぽみち,イザカヤスナックサンポミチ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町2-2-14,054-620-0766,19時オープン24時閉店,,,,138.319594,34.8715631
